configuration,group,omitted_concept,sample,source_file,e2e_latency_s,throughput_tokens_s,completion_tokens,output_sha256_12
full_b,complete feature set,none,1,run_03.json,6.593337297,19.413537367,128,68e10a82edac
full_b,complete feature set,none,2,run_04.json,6.522731781,19.623679817,128,68e10a82edac
full_b,complete feature set,none,3,run_05.json,6.473668814,19.772404750,128,68e10a82edac
full_b,complete feature set,none,4,run_06.json,6.348861456,20.161095165,128,68e10a82edac
full_b,complete feature set,none,5,run_07.json,6.337023258,20.198758121,128,68e10a82edac
full_b,complete feature set,none,6,run_08.json,6.324397564,20.239081858,128,68e10a82edac
full_b,complete feature set,none,7,run_09.json,6.322290659,20.245826537,128,68e10a82edac
full_b,complete feature set,none,8,run_10.json,6.395333290,20.014594110,128,68e10a82edac
full_b,complete feature set,none,9,run_11.json,6.399007320,20.003102605,128,68e10a82edac
full_b,complete feature set,none,10,run_12.json,6.418237448,19.943169919,128,68e10a82edac
full_b,complete feature set,none,11,run_13.json,6.332243681,20.214004143,128,68e10a82edac
full_b,complete feature set,none,12,run_14.json,6.383156300,20.052775460,128,68e10a82edac
full_b,complete feature set,none,13,run_15.json,6.360959768,20.122749500,128,68e10a82edac
full_b,complete feature set,none,14,run_16.json,6.454169035,19.832142497,128,68e10a82edac
full_b,complete feature set,none,15,run_17.json,6.331896305,20.215113109,128,68e10a82edac
full_b,complete feature set,none,16,run_18.json,6.331855059,20.215244792,128,68e10a82edac
full_b,complete feature set,none,17,run_19.json,6.316945791,20.262956851,128,68e10a82edac
full_b,complete feature set,none,18,run_20.json,6.322910547,20.243841668,128,68e10a82edac
full_b,complete feature set,none,19,run_21.json,6.341979980,20.182971311,128,68e10a82edac
full_b,complete feature set,none,20,run_22.json,6.575859785,19.465135235,128,68e10a82edac
full_b,complete feature set,none,21,run_23.json,6.445082426,19.860102872,128,68e10a82edac
full_b,complete feature set,none,22,run_24.json,6.540691376,19.569796623,128,68e10a82edac
full_b,complete feature set,none,23,run_25.json,6.516248703,19.643203603,128,68e10a82edac
full_b,complete feature set,none,24,run_26.json,6.389857292,20.031746273,128,68e10a82edac
full_b,complete feature set,none,25,run_27.json,6.333780050,20.209100882,128,68e10a82edac
full_b,complete feature set,none,26,run_28.json,6.435827732,19.888661619,128,68e10a82edac
full_b,complete feature set,none,27,run_29.json,6.568612814,19.486610587,128,68e10a82edac
full_b,complete feature set,none,28,run_30.json,6.526453495,19.612489401,128,68e10a82edac
full_b,complete feature set,none,29,run_31.json,6.358803749,20.129572330,128,68e10a82edac
full_b,complete feature set,none,30,run_32.json,6.553376675,19.531915584,128,68e10a82edac
full_b,complete feature set,none,31,run_33.json,6.415845871,19.950603954,128,68e10a82edac
full_b,complete feature set,none,32,run_34.json,6.328216076,20.226869384,128,68e10a82edac
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,1,run_03.json,7.563239813,16.923964223,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,2,run_04.json,7.736327887,16.545317349,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,3,run_05.json,7.588862896,16.866822046,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,4,run_06.json,7.562841415,16.924855748,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,5,run_07.json,7.724318266,16.571041689,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,6,run_08.json,7.735489130,16.547111352,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,7,run_09.json,7.681677818,16.663026363,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,8,run_10.json,7.602374077,16.836845794,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,9,run_11.json,7.558860779,16.933768692,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,10,run_12.json,7.568379879,16.912470310,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,11,run_13.json,7.638798475,16.756561966,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,12,run_14.json,7.715048075,16.590953000,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,13,run_15.json,7.654973507,16.721155192,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,14,run_16.json,7.608670235,16.822913341,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,15,run_17.json,7.715135574,16.590764837,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,16,run_18.json,7.662806511,16.704062646,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,17,run_19.json,7.527685642,17.003898155,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,18,run_20.json,7.763471603,16.487469336,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,19,run_21.json,7.785218000,16.441414999,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,20,run_22.json,7.761983395,16.490630486,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,21,run_23.json,7.805485249,16.398724221,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,22,run_24.json,7.668387890,16.691904718,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,23,run_25.json,7.662754774,16.704175427,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,24,run_26.json,7.710951567,16.599767084,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,25,run_27.json,7.663135529,16.703345455,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,26,run_28.json,7.700664997,16.621941098,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,27,run_29.json,7.791994810,16.427115664,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,28,run_30.json,7.729152203,16.560677891,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,29,run_31.json,7.727495432,16.564228491,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,30,run_32.json,7.725064278,16.569441418,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,31,run_33.json,7.627374411,16.781659469,128,9e9b8c4846c0
no_rmsnorm,without RMSNorm recognition,JAX RMSNorm recognition,32,run_34.json,7.646944046,16.738712776,128,9e9b8c4846c0
no_silu,without SiLU call lowering,SiLU call lowering,1,run_03.json,6.552043676,19.535889308,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,2,run_04.json,6.434969187,19.891315138,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,3,run_05.json,6.313879251,20.272798212,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,4,run_06.json,6.551383734,19.537857223,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,5,run_07.json,6.308696508,20.289452794,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,6,run_08.json,6.309924841,20.285503112,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,7,run_09.json,6.308235884,20.290934321,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,8,run_10.json,6.319152355,20.255881296,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,9,run_11.json,6.454741001,19.830385135,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,10,run_12.json,6.456502438,19.824975091,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,11,run_13.json,6.352422714,20.149792569,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,12,run_14.json,6.558569670,19.516450453,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,13,run_15.json,6.484761000,19.738584044,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,14,run_16.json,6.300009966,20.317428178,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,15,run_17.json,6.389780998,20.031985452,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,16,run_18.json,6.305021763,20.301278063,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,17,run_19.json,6.295887709,20.330731094,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,18,run_20.json,6.302717924,20.308698809,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,19,run_21.json,6.328943729,20.224543853,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,20,run_22.json,6.346070051,20.169963295,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,21,run_23.json,6.395536661,20.013957668,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,22,run_24.json,6.303041220,20.307657135,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,23,run_25.json,6.307816267,20.292284141,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,24,run_26.json,6.523235321,19.622165030,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,25,run_27.json,6.489568472,19.723961702,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,26,run_28.json,6.463532686,19.803411882,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,27,run_29.json,6.504657745,19.678206758,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,28,run_30.json,6.375414133,20.077127121,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,29,run_31.json,6.429030180,19.909690329,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,30,run_32.json,6.509172440,19.664558158,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,31,run_33.json,6.555750847,19.524842080,128,68e10a82edac
no_silu,without SiLU call lowering,SiLU call lowering,32,run_34.json,6.485311270,19.736909252,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,1,run_03.json,6.671391249,19.186402840,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,2,run_04.json,6.761554003,18.930559446,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,3,run_05.json,6.575258017,19.466916686,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,4,run_06.json,6.550445318,19.540656212,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,5,run_07.json,6.529105186,19.604524103,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,6,run_08.json,6.553472757,19.531629220,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,7,run_09.json,6.543445349,19.561560184,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,8,run_10.json,6.554211140,19.529428832,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,9,run_11.json,6.537635326,19.578944620,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,10,run_12.json,6.689524174,19.134395314,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,11,run_13.json,6.772108316,18.901056218,128,68e10a82edac
no_rope,without rank-3 RoPE fusion,rank-3 decode RoPE fusion,12,run_14.json,6.568410635,19.487210394,128,68e10a82edac
